Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
E0,14/08/93,arsenal,coventry,0,3,A,,,,1993-94
E0,14/08/93,aston villa,qpr,4,1,H,,,,1993-94
E0,14/08/93,chelsea,blackburn,1,2,A,,,,1993-94
E0,14/08/93,liverpool,sheffield weds,2,0,H,,,,1993-94
E0,14/08/93,man city,leeds,1,1,D,,,,1993-94
E0,14/08/93,newcastle,tottenham,0,1,A,,,,1993-94
E0,14/08/93,oldham,ipswich,0,3,A,,,,1993-94
E0,14/08/93,sheffield united,swindon,3,1,H,,,,1993-94
E0,14/08/93,southampton,everton,0,2,A,,,,1993-94
E0,14/08/93,west ham,wimbledon,0,2,A,,,,1993-94
E0,15/08/93,norwich,man united,0,2,A,,,,1993-94
E0,16/08/93,tottenham,arsenal,0,1,A,,,,1993-94
E0,17/08/93,everton,man city,1,0,H,,,,1993-94
E0,17/08/93,ipswich,southampton,1,0,H,,,,1993-94
E0,17/08/93,leeds,west ham,1,0,H,,,,1993-94
E0,17/08/93,wimbledon,chelsea,1,1,D,,,,1993-94
E0,18/08/93,blackburn,norwich,2,3,A,,,,1993-94
E0,18/08/93,coventry,newcastle,2,1,H,,,,1993-94
E0,18/08/93,man united,sheffield united,3,0,H,,,,1993-94
E0,18/08/93,qpr,liverpool,1,3,A,,,,1993-94
E0,18/08/93,sheffield weds,aston villa,0,0,D,,,,1993-94
E0,18/08/93,swindon,oldham,0,1,A,,,,1993-94
E0,21/08/93,blackburn,oldham,1,0,H,,,,1993-94
E0,21/08/93,coventry,west ham,1,1,D,,,,1993-94
E0,21/08/93,everton,sheffield united,4,2,H,,,,1993-94
E0,21/08/93,ipswich,chelsea,1,0,H,,,,1993-94
E0,21/08/93,leeds,norwich,0,4,A,,,,1993-94
E0,21/08/93,man united,newcastle,1,1,D,,,,1993-94
E0,21/08/93,qpr,southampton,2,1,H,,,,1993-94
E0,21/08/93,sheffield weds,arsenal,0,1,A,,,,1993-94
E0,21/08/93,tottenham,man city,1,0,H,,,,1993-94
E0,21/08/93,wimbledon,aston villa,2,2,D,,,,1993-94
E0,22/08/93,swindon,liverpool,0,5,A,,,,1993-94
E0,23/08/93,aston villa,man united,1,2,A,,,,1993-94
E0,24/08/93,arsenal,leeds,2,1,H,,,,1993-94
E0,24/08/93,man city,blackburn,0,2,A,,,,1993-94
E0,24/08/93,oldham,coventry,3,3,D,,,,1993-94
E0,24/08/93,sheffield united,wimbledon,2,1,H,,,,1993-94
E0,25/08/93,chelsea,qpr,2,0,H,,,,1993-94
E0,25/08/93,liverpool,tottenham,1,2,A,,,,1993-94
E0,25/08/93,newcastle,everton,1,0,H,,,,1993-94
E0,25/08/93,norwich,ipswich,1,0,H,,,,1993-94
E0,25/08/93,southampton,swindon,5,1,H,,,,1993-94
E0,25/08/93,west ham,sheffield weds,2,0,H,,,,1993-94
E0,27/08/93,man city,coventry,1,1,D,,,,1993-94
E0,28/08/93,arsenal,everton,2,0,H,,,,1993-94
E0,28/08/93,aston villa,tottenham,1,0,H,,,,1993-94
E0,28/08/93,chelsea,sheffield weds,1,1,D,,,,1993-94
E0,28/08/93,liverpool,leeds,2,0,H,,,,1993-94
E0,28/08/93,norwich,swindon,0,0,D,,,,1993-94
E0,28/08/93,oldham,wimbledon,1,1,D,,,,1993-94
E0,28/08/93,sheffield united,ipswich,1,1,D,,,,1993-94
E0,28/08/93,southampton,man united,1,3,A,,,,1993-94
E0,28/08/93,west ham,qpr,0,4,A,,,,1993-94
E0,29/08/93,newcastle,blackburn,1,1,D,,,,1993-94
E0,30/08/93,leeds,oldham,1,0,H,,,,1993-94
E0,31/08/93,everton,aston villa,0,1,A,,,,1993-94
E0,31/08/93,ipswich,newcastle,1,1,D,,,,1993-94
E0,31/08/93,wimbledon,southampton,1,0,H,,,,1993-94
E0,1/9/1993,blackburn,arsenal,1,1,D,,,,1993-94
E0,1/9/1993,coventry,liverpool,1,0,H,,,,1993-94
E0,1/9/1993,man united,west ham,3,0,H,,,,1993-94
E0,1/9/1993,qpr,sheffield united,2,1,H,,,,1993-94
E0,1/9/1993,sheffield weds,norwich,3,3,D,,,,1993-94
E0,1/9/1993,swindon,man city,1,3,A,,,,1993-94
E0,1/9/1993,tottenham,chelsea,1,1,D,,,,1993-94
E0,11/9/1993,arsenal,ipswich,4,0,H,,,,1993-94
E0,11/9/1993,aston villa,coventry,0,0,D,,,,1993-94
E0,11/9/1993,chelsea,man united,1,0,H,,,,1993-94
E0,11/9/1993,man city,qpr,3,0,H,,,,1993-94
E0,11/9/1993,norwich,wimbledon,0,1,A,,,,1993-94
E0,11/9/1993,oldham,everton,0,1,A,,,,1993-94
E0,11/9/1993,sheffield united,tottenham,2,2,D,,,,1993-94
E0,11/9/1993,southampton,leeds,0,2,A,,,,1993-94
E0,11/9/1993,west ham,swindon,0,0,D,,,,1993-94
E0,12/9/1993,liverpool,blackburn,0,1,A,,,,1993-94
E0,13/09/93,newcastle,sheffield weds,4,2,H,,,,1993-94
E0,18/09/93,blackburn,west ham,0,2,A,,,,1993-94
E0,18/09/93,coventry,chelsea,1,1,D,,,,1993-94
E0,18/09/93,everton,liverpool,2,0,H,,,,1993-94
E0,18/09/93,ipswich,aston villa,1,2,A,,,,1993-94
E0,18/09/93,leeds,sheffield united,2,1,H,,,,1993-94
E0,18/09/93,qpr,norwich,2,2,D,,,,1993-94
E0,18/09/93,sheffield weds,southampton,2,0,H,,,,1993-94
E0,18/09/93,swindon,newcastle,2,2,D,,,,1993-94
E0,18/09/93,tottenham,oldham,5,0,H,,,,1993-94
E0,19/09/93,man united,arsenal,1,0,H,,,,1993-94
E0,20/09/93,wimbledon,man city,1,0,H,,,,1993-94
E0,25/09/93,arsenal,southampton,1,0,H,,,,1993-94
E0,25/09/93,blackburn,sheffield weds,1,1,D,,,,1993-94
E0,25/09/93,chelsea,liverpool,1,0,H,,,,1993-94
E0,25/09/93,coventry,leeds,0,2,A,,,,1993-94
E0,25/09/93,everton,norwich,1,5,A,,,,1993-94
E0,25/09/93,man united,swindon,4,2,H,,,,1993-94
E0,25/09/93,newcastle,west ham,2,0,H,,,,1993-94
E0,25/09/93,oldham,aston villa,1,1,D,,,,1993-94
E0,25/09/93,sheffield united,man city,0,1,A,,,,1993-94
E0,26/09/93,ipswich,tottenham,2,2,D,,,,1993-94
E0,27/09/93,wimbledon,qpr,1,1,D,,,,1993-94
E0,2/10/1993,aston villa,newcastle,0,2,A,,,,1993-94
E0,2/10/1993,leeds,wimbledon,4,0,H,,,,1993-94
E0,2/10/1993,liverpool,arsenal,0,0,D,,,,1993-94
E0,2/10/1993,norwich,coventry,1,0,H,,,,1993-94
E0,2/10/1993,qpr,ipswich,3,0,H,,,,1993-94
E0,2/10/1993,sheffield weds,man united,2,3,A,,,,1993-94
E0,2/10/1993,southampton,sheffield united,3,3,D,,,,1993-94
E0,2/10/1993,swindon,blackburn,1,3,A,,,,1993-94
E0,2/10/1993,west ham,chelsea,1,0,H,,,,1993-94
E0,3/10/1993,tottenham,everton,3,2,H,,,,1993-94
E0,4/10/1993,man city,oldham,1,1,D,,,,1993-94
E0,16/10/93,arsenal,man city,0,0,D,,,,1993-94
E0,16/10/93,chelsea,norwich,1,2,A,,,,1993-94
E0,16/10/93,coventry,southampton,1,1,D,,,,1993-94
E0,16/10/93,liverpool,oldham,2,1,H,,,,1993-94
E0,16/10/93,man united,tottenham,2,1,H,,,,1993-94
E0,16/10/93,newcastle,qpr,1,2,A,,,,1993-94
E0,16/10/93,sheffield weds,wimbledon,2,2,D,,,,1993-94
E0,16/10/93,swindon,everton,1,1,D,,,,1993-94
E0,16/10/93,west ham,aston villa,0,0,D,,,,1993-94
E0,17/10/93,ipswich,leeds,0,0,D,,,,1993-94
E0,18/10/93,blackburn,sheffield united,0,0,D,,,,1993-94
E0,23/10/93,aston villa,chelsea,1,0,H,,,,1993-94
E0,23/10/93,everton,man united,0,1,A,,,,1993-94
E0,23/10/93,leeds,blackburn,3,3,D,,,,1993-94
E0,23/10/93,man city,liverpool,1,1,D,,,,1993-94
E0,23/10/93,norwich,west ham,0,0,D,,,,1993-94
E0,23/10/93,oldham,arsenal,0,0,D,,,,1993-94
E0,23/10/93,qpr,coventry,5,1,H,,,,1993-94
E0,23/10/93,sheffield united,sheffield weds,1,1,D,,,,1993-94
E0,23/10/93,tottenham,swindon,1,1,D,,,,1993-94
E0,24/10/93,southampton,newcastle,2,1,H,,,,1993-94
E0,25/10/93,wimbledon,ipswich,0,2,A,,,,1993-94
E0,30/10/93,arsenal,norwich,0,0,D,,,,1993-94
E0,30/10/93,blackburn,tottenham,1,0,H,,,,1993-94
E0,30/10/93,chelsea,oldham,0,1,A,,,,1993-94
E0,30/10/93,ipswich,everton,0,2,A,,,,1993-94
E0,30/10/93,liverpool,southampton,4,2,H,,,,1993-94
E0,30/10/93,man united,qpr,2,1,H,,,,1993-94
E0,30/10/93,newcastle,wimbledon,4,0,H,,,,1993-94
E0,30/10/93,sheffield weds,leeds,3,3,D,,,,1993-94
E0,30/10/93,swindon,aston villa,1,2,A,,,,1993-94
E0,31/10/93,coventry,sheffield united,0,0,D,,,,1993-94
E0,1/11/1993,west ham,man city,3,1,H,,,,1993-94
E0,6/11/1993,arsenal,aston villa,1,2,A,,,,1993-94
E0,6/11/1993,coventry,everton,2,1,H,,,,1993-94
E0,6/11/1993,ipswich,sheffield weds,1,4,A,,,,1993-94
E0,6/11/1993,leeds,chelsea,4,1,H,,,,1993-94
E0,6/11/1993,liverpool,west ham,2,0,H,,,,1993-94
E0,6/11/1993,qpr,blackburn,1,0,H,,,,1993-94
E0,6/11/1993,sheffield united,norwich,1,2,A,,,,1993-94
E0,6/11/1993,southampton,tottenham,1,0,H,,,,1993-94
E0,6/11/1993,wimbledon,swindon,3,0,H,,,,1993-94
E0,7/11/1993,man city,man united,2,3,A,,,,1993-94
E0,8/11/1993,oldham,newcastle,1,3,A,,,,1993-94
E0,20/11/93,aston villa,sheffield united,1,0,H,,,,1993-94
E0,20/11/93,blackburn,southampton,2,0,H,,,,1993-94
E0,20/11/93,chelsea,arsenal,0,2,A,,,,1993-94
E0,20/11/93,everton,qpr,0,3,A,,,,1993-94
E0,20/11/93,man united,wimbledon,3,1,H,,,,1993-94
E0,20/11/93,norwich,man city,1,1,D,,,,1993-94
E0,20/11/93,sheffield weds,coventry,0,0,D,,,,1993-94
E0,20/11/93,swindon,ipswich,2,2,D,,,,1993-94
E0,20/11/93,tottenham,leeds,1,1,D,,,,1993-94
E0,20/11/93,west ham,oldham,2,0,H,,,,1993-94
E0,21/11/93,newcastle,liverpool,3,0,H,,,,1993-94
E0,22/11/93,chelsea,man city,0,0,D,,,,1993-94
E0,23/11/93,blackburn,coventry,2,1,H,,,,1993-94
E0,23/11/93,everton,leeds,1,1,D,,,,1993-94
E0,24/11/93,aston villa,southampton,0,2,A,,,,1993-94
E0,24/11/93,man united,ipswich,0,0,D,,,,1993-94
E0,24/11/93,newcastle,sheffield united,4,0,H,,,,1993-94
E0,24/11/93,sheffield weds,oldham,3,0,H,,,,1993-94
E0,24/11/93,swindon,qpr,1,0,H,,,,1993-94
E0,24/11/93,tottenham,wimbledon,1,1,D,,,,1993-94
E0,24/11/93,west ham,arsenal,0,0,D,,,,1993-94
E0,27/11/93,arsenal,newcastle,2,1,H,,,,1993-94
E0,27/11/93,coventry,man united,0,1,A,,,,1993-94
E0,27/11/93,ipswich,blackburn,1,0,H,,,,1993-94
E0,27/11/93,leeds,swindon,3,0,H,,,,1993-94
E0,27/11/93,man city,sheffield weds,1,3,A,,,,1993-94
E0,27/11/93,oldham,norwich,2,1,H,,,,1993-94
E0,27/11/93,qpr,tottenham,1,1,D,,,,1993-94
E0,27/11/93,sheffield united,chelsea,1,0,H,,,,1993-94
E0,27/11/93,wimbledon,everton,1,1,D,,,,1993-94
E0,28/11/93,liverpool,aston villa,2,1,H,,,,1993-94
E0,29/11/93,southampton,west ham,0,2,A,,,,1993-94
E0,4/12/1993,coventry,arsenal,1,0,H,,,,1993-94
E0,4/12/1993,everton,southampton,1,0,H,,,,1993-94
E0,4/12/1993,ipswich,oldham,0,0,D,,,,1993-94
E0,4/12/1993,leeds,man city,3,2,H,,,,1993-94
E0,4/12/1993,man united,norwich,2,2,D,,,,1993-94
E0,4/12/1993,qpr,aston villa,2,2,D,,,,1993-94
E0,4/12/1993,sheffield weds,liverpool,3,1,H,,,,1993-94
E0,4/12/1993,swindon,sheffield united,0,0,D,,,,1993-94
E0,4/12/1993,tottenham,newcastle,1,2,A,,,,1993-94
E0,4/12/1993,wimbledon,west ham,1,2,A,,,,1993-94
E0,5/12/1993,blackburn,chelsea,2,0,H,,,,1993-94
E0,6/12/1993,arsenal,tottenham,1,1,D,,,,1993-94
E0,7/12/1993,oldham,swindon,2,1,H,,,,1993-94
E0,7/12/1993,sheffield united,man united,0,3,A,,,,1993-94
E0,8/12/1993,aston villa,sheffield weds,2,2,D,,,,1993-94
E0,8/12/1993,liverpool,qpr,3,2,H,,,,1993-94
E0,8/12/1993,man city,everton,1,0,H,,,,1993-94
E0,8/12/1993,southampton,ipswich,0,1,A,,,,1993-94
E0,8/12/1993,west ham,leeds,0,1,A,,,,1993-94
E0,11/12/1993,aston villa,wimbledon,0,1,A,,,,1993-94
E0,11/12/1993,chelsea,ipswich,1,1,D,,,,1993-94
E0,11/12/1993,liverpool,swindon,2,2,D,,,,1993-94
E0,11/12/1993,man city,tottenham,0,2,A,,,,1993-94
E0,11/12/1993,newcastle,man united,1,1,D,,,,1993-94
E0,11/12/1993,oldham,blackburn,1,2,A,,,,1993-94
E0,11/12/1993,sheffield united,everton,0,0,D,,,,1993-94
E0,11/12/1993,southampton,qpr,0,1,A,,,,1993-94
E0,11/12/1993,west ham,coventry,3,2,H,,,,1993-94
E0,12/12/1993,arsenal,sheffield weds,1,0,H,,,,1993-94
E0,13/12/93,norwich,leeds,2,1,H,,,,1993-94
E0,18/12/93,blackburn,man city,2,0,H,,,,1993-94
E0,18/12/93,coventry,oldham,1,1,D,,,,1993-94
E0,18/12/93,everton,newcastle,0,2,A,,,,1993-94
E0,18/12/93,ipswich,norwich,2,1,H,,,,1993-94
E0,18/12/93,leeds,arsenal,2,1,H,,,,1993-94
E0,18/12/93,sheffield weds,west ham,5,0,H,,,,1993-94
E0,18/12/93,swindon,southampton,2,1,H,,,,1993-94
E0,18/12/93,tottenham,liverpool,3,3,D,,,,1993-94
E0,18/12/93,wimbledon,sheffield united,2,0,H,,,,1993-94
E0,19/12/93,man united,aston villa,3,1,H,,,,1993-94
E0,22/12/93,newcastle,leeds,1,1,D,,,,1993-94
E0,26/12/93,man united,blackburn,1,1,D,,,,1993-94
E0,26/12/93,sheffield united,liverpool,0,0,D,,,,1993-94
